trend_factor,digital_inclusion_index,account_ratio,mobile_growth_pct,financial_growth_pct,mobile_money_share,financial_institution_share,year_x,actual,prediction,year_y,country
0.875,0.5961597025,1.3576088947499587,-0.05858895371988049,-0.09233472337011683,68.658692,50.5732485,2021,28.621912,26.954748626340415,2021,Kenya
0.375,0.30314621932499997,0.05187747376782559,5.459170067043247,-0.051903716539055456,2.990169565,57.6390743,2017,0.112730265,0.6173651512708223,2017,Romania
0.875,0.6082320320000001,0.37131158030353767,0.0,0.0,32.9383344,88.708072,2021,1.0112524,1.1019573980666182,2021,Russia
0.0,0.10909738364,0.0012800752223537616,0.0,0.0,0.027894864,21.791581864,2014,0.0,0.246389246029094,2014,Ethiopia
0.0,0.31441902,1.263356885026122,0.0,0.0,35.10038,27.783424,2014,16.66373,21.662375783015726,2014,Uganda
0.875,0.50704789,0.5289695477331171,13.52057443570465,0.3841823262875279,35.084137999999996,66.32544,2021,5.301648,3.806028035514734,2021,Argentina
0.375,0.11730839000000001,0.3179111902834852,-0.5742987507073667,0.41776588072038545,5.6595088,17.8021692,2017,3.8696156,1.526023818510409,2017,Cambodia
0.875,0.5526165827,0.32263159433440014,4.574269494453948,0.19301098945736528,26.96012554,83.563191,2021,0.47255754,0.3200903515447216,2021,Brazil
0.375,0.1474820355,0.2682280369463059,2.142084388119391,0.39405707580092364,6.2384391,23.257967999999998,2017,2.8347821,2.0304658860086997,2017,Congo
0.0,0.23234080875,0.051953705740446436,0.0,0.0,2.29496145,44.1732003,2014,0.26878715,0.5761111219188928,2014,Nigeria
0.875,0.51003362815,0.1382091044386849,-0.5289753306463849,-0.04001761252905256,12.38635163,89.620374,2021,0.36429763,0.2957640841883606,2021,Iran
0.0,0.34997554,0.42140563936207404,0.0,0.0,20.751524,49.243584,2014,2.720985,5.042456265574372,2014,Botswana
0.0,0.12447929999999999,0.8784500330877223,0.0,0.0,11.6424545,13.2534055,2014,6.822635,7.090291302833089,2014,Mali
0.875,0.41029176749999996,0.17239519271750528,1.6321948092491745,0.10106000029115325,12.0662945,69.992059,2021,2.3774505,1.1074083658182805,2021,Middle-income countries
0.0,0.26503008,0.033367078751768905,0.0,0.0,1.7115466000000001,51.2944694,2014,0.2609372,0.3015552308247657,2014,Latin America and Caribbean (excluding high income) (WB)
0.875,0.1487475025,0.28278034194901597,0.6698198334798544,-0.184343605968891,6.5580783,23.191422199999998,2021,2.8413801,2.5750469289172293,2021,Nicaragua
0.875,0.25415949000000004,1.1287780997744452,0.8341385949048659,0.036019251433232036,26.953459000000002,23.878439,2021,15.110101,14.878649317337556,2021,Low-income countries
0.375,0.3407600365,0.07211375475581712,1.0675144828355365,0.12603846244725525,4.584119100000001,63.5678882,2017,1.2952149,1.2633807083920812,2017,Middle-income countries
0.0,0.0951248083,0.0800479666022268,0.0,0.0,1.41003876,17.6149229,2014,0.63653886,0.5224856570286899,2014,Togo
0.875,0.30235987,1.5420936280490678,1.0274149461555369,-0.25392448340518914,36.683718,23.788255999999997,2021,24.817276,24.655759448144867,2021,Benin
0.875,0.353025457,0.2549716694578293,4.4456641759784485,0.3334853504658166,14.3447844,56.260307,2021,1.2375534,1.839725705793742,2021,Peru
0.0,0.1394096444,0.022693614520191235,0.0,0.0,0.61870118,27.2632277,2014,0.16908348,0.3204968370753217,2014,Tunisia
0.875,0.2745016475,2.0293364366648046,4.8952951869001975,-0.22078792523921265,36.77744,18.1228895,2021,29.019268,27.1678904351959,2021,Congo
0.375,0.21002300699999998,0.5634406482651821,7.425798404535131,1.3669000870413854,15.1378307,26.8667707,2017,7.72402,6.409270764440314,2017,Cameroon
0.875,0.5292576904999999,0.17670512656016216,1.8249230720902796,0.0051529075750123,15.8956641,89.955874,2021,0.5704701,0.9320013784431014,2021,Mauritius
0.875,0.42515236,2.0861030679388954,0.3189634179531189,-0.18926066022907584,57.477772,27.552699999999998,2021,38.53727,29.663347741100306,2021,Gabon
0.875,0.451785145,1.4714188760303357,0.06356107521286547,0.11316312799987682,53.796238,36.560790999999995,2021,29.35322,27.974436715409404,2021,Uganda
